PRINCIPAL_PARTS,SHORT_DEFINITION
decem; decimus –a –um,10; 10th
duodecim; duodecimus –a –um,12; 12th
novem; nōnus –a –um,"9, 9th"
octō; octāvus –a –um,8; 8th
sex; sextus –a –um,6; 6th
ūndecim; ūndecimus –a –um,11; 11th
aequinoctium –ī n.,the equinox
aequus –a –um,equal
aestās aestātis f.,summer
annus annī m.,year
autumnus autumnī m.,fall
calidus (caldus) –a –um,"warm, hot"
clārus –a –um,"clear, distinguished"
diēs diēī m. or f.,day
dīmidius –a –um,half
ducentī –ae –a; ducentēsimus –a –um,200; 200th
duodētrīginta; duodētricēsimus –a –um,"28, 28th"
exiguus –a –um,"small, little"
faciēs facieī f.,"appearance, face"
fōrma fōrmae f.,shape; beauty
frīgidus –a –um,"cool, cold"
glaciēs –eī f.,ice
hiems hiemis f.,winter
hōra hōrae f.,hour
īdūs īduum (pl. f.),the Ides
igitur,therefore
illūstrō illūstrāre illūstrāvī illūstrātus,to illuminate
imber imbris m.,rain
incipiō incipere incēpī inceptus,to begin
initium initi(ī) n.,beginning
item,likewise
lacus lacūs m.,"lake, reservoir"
lūna lūnae f.,moon
lūx lūcis f.,daylight
māne (indecl.),the morning
mēnsis mēnsis m.,month
merīdiēs merīdiēī m.,midday
nix nivis f.,snow
nōminō nōmināre nōmināvī nōminātus,"to name, mention"
Nonae –ārum f.,Nones
nox noctis f.,night
nunc,now
obscūrus –a –um,"covered, dark"
operiō operīre operuī opertum,"to cover, hide"
postrēmus –a –um,"last, latest"
quandō,"when, since; some day (= si quando)"
quīnque; quīntus –a –um,5; 5th
saeculum saeculī n.,"age; generation, people born at a time; mortal race; century"
septem; septimus –a –um,7; 7th
sexāgintā; sexāgēsimus –a –um,"60, 60th"
stēlla stēllae f.,star
tempus temporis n.,time
tōtus –a –um,whole
trecentī –ae –a; trecentēsimus –a –um,"300, 300th"
trīgintā; trīcēsimus or trīcēnsimus –a –um,30; 30th
vel,or
vēr vēris n.,spring
vesper vesperis m. or vesper vesperī m.,"evening, evening star"
undētrīginta; undētrīcesimus –a –um,29; 29th
urbs urbis f.,city
