PRINCIPAL_PARTS,SHORT_DEFINITION
accurrō –ere –currī (–cucurrī) –cursus,to run to
albus –a –um,white
arbor (or arbos) arboris f.,tree
bālō –āre,to bleat
bibō bibere bibī,to drink
caelum caelī n.,"sky, heaven"
campus campī m.,plain
canis canis m. or f.,dog
cibus cibī m.,food
clāmor clāmōris m.,"outcry, shout"
collis collis m.,hill
dēns dentis m.,tooth
dūcō dūcere dūxī ductus,to lead; consider
dum,"while, until, provided that"
edō ēsse ēdī ēsus,to eat
errō errāre errāvī errātus,"to wander, err"
herba herbae f.,"grass, herb"
iaceō iacēre iacuī,to lie
impōnō impōnere impōsuī impōsitus,"to put on, impose"
ipse ipsa ipsum,"himself, herself, itself (intensive)"
lātrō lātrāre lātrāvī lātrātus,to bark
lūceō lūcēre lūxī,to shine
lupus lupī m.,wolf
modus modī m.,measure; manner
mōns montis m.,mountain
niger nigra nigrum,"black, unlucky, wicked"
nūbēs nūbis f.,cloud
ovis –is n.,sheep
pānis pānis m.,bread
pāstor pāstōris m.,shepherd
petō petere petiī/petīvī petītus,"to seek, go towards"
quaerō quaerere quaesiī/quaesīvī quaesītus,to seek
relinquō relinquere relīquī relictus,to abandon
reperiō reperīre repperī repertus,to find out
rīvus –ī m.,"brook, stream"
silva silvae f.,forest
sōl sōlis m.,sun
sub,under
suprā,above (adv. and prep. +acc.)
terra terrae f.,land
timor timōris m.,fear
vallēs vallis f.,valley
vestīgium vestīgi(ī) n.,"trace, track"
ululō ululāre ululāvī ululātus,to howl
umbra umbrae f.,shadow
ūndēcentum,99
ut or utī,"so that; as, when; that; how? In what manner?"
