PRINCIPAL_PARTS,SHORT_DEFINITION
āēr āeris m. (acc. sing. aera or aerem),air
āla ālae f.,"wing, armpit"
anima animae f.,"breath, spirit"
animal animālis n.,animal
aquila aquilae f.,eagle
ascendō ascendere ascendī ascēnsus,to ascend
asinus –ī m.,"ass, donkey"
audeō audēre ausus sum,to dare
avis avis f.,bird
bestia –ae f.,"beast, creature"
cadō cadere cecidī cāsum,to fall
canō canere cecinī cantus,to sing
capiō capere cēpī captus,to seize
cauda –ae f.,"the tail, coda"
crassus –a –um,"thick, fat; crass, coarse"
cum,when; since; although
deus deī m.,god
enim,"in fact, for"
ergō,therefore
faciō facere fēcī factus,"to do, make"
fera ferae f.,wild animal
ferus –a –um,"wild, fierce"
flūmen flūminis n.,river
folium foli(ī) n.,leaf
homō hominis m.,"human being, man"
lectus lectī m.,"bed, couch"
leō leōnis m.,lion
lūdō lūdere lūsī lūsus,to play; play with
mare maris n.,sea
mercātor –ōris m.,"merchant, trader"
mortuus –a –um,dead
moveō movēre mōvī mōtus,to move
natō natāre natāvī natātus,to swim
necesse,necessary (indeclinable)
nēmō nēminis m. or f.,no one
nīdus –ī m.,nest; brood
nūntius nūnti(ī) m.,messenger; news
occultō occultāre occultāvī occultātus,to hide; conceal
ōvum –ī n.,egg
pariō parere peperī partum,to bring forth
perterreō perterrēre perterruī perterritus,to terrify
pēs pedis m.,foot
petasus –ī m.,a hat
pīla –ae f.,"a ball, playing-ball"
piscis piscis m.,fish
possum posse potuī,to be able
pullus –ī m.,"a young animal, chicken; chick; a term of endearment"
pulmō –ōnis m.,lung; lungs
quod,because
rāmus rāmī m.,branch
spīrō spīrāre spīrāvī spīrātus,to breathe
sustineō sustinēre sustinuī sustentus,"to sustain, be able to, endure"
tenuis tenue,thin
vīvō vīvere vīxī vīctus,to live
vīvus –a –um,alive
volō velle voluī,to wish
vōx vōcis f.,voice
